sale_id,sale_date,store_id,product_id,quantity
SALE000084,2024-07-03,ST086,P121,2
SALE000085,2024-02-19,ST021,P335,1
SALE000086,2025-04-15,ST065,P816,1
SALE000087,2023-09-27,ST091,P626,1
SALE000088,2023-09-27,ST082,P805,1
SALE000089,2023-09-14,ST038,P307,1
SALE000090,2024-02-15,ST029,P859,1
SALE000091,2024-04-21,ST062,P135,3
SALE000092,2025-09-02,ST078,P317,1
SALE000093,2025-02-26,ST090,P454,1
SALE000094,2024-04-09,ST061,P614,3
SALE000095,2025-07-10,ST028,P614,3
SALE000096,2024-05-07,ST097,P491,1
SALE000097,2025-04-27,ST011,P428,3
SALE000098,2025-07-03,ST091,P299,5
SALE000099,2023-12-17,ST015,P052,2
SALE000100,2024-07-04,ST071,P774,1
SALE000101,2023-11-13,ST074,P450,2
SALE000102,2024-09-24,ST022,P268,3
SALE000103,2025-06-16,ST057,P115,3
SALE000104,2025-01-14,ST027,P595,1
SALE000105,2025-04-28,ST063,P076,1
SALE000106,2024-02-25,ST066,P356,1
SALE000107,2025-03-06,ST059,P122,2
SALE000108,2024-08-03,ST059,P471,1
SALE000109,2024-08-30,ST072,P360,2
SALE000110,2024-01-20,ST093,P004,1
SALE000111,2024-06-28,ST033,P688,1
SALE000112,2025-03-21,ST096,P175,1
SALE000113,2025-05-09,ST006,P347,3
SALE000114,2025-03-01,ST009,P451,1
SALE000115,2025-02-19,ST009,P895,2
SALE000116,2024-12-11,ST005,P244,2
SALE000117,2023-12-02,ST024,P626,8
SALE000118,2025-05-09,ST048,P896,2
SALE000119,2023-11-09,ST058,P718,2
SALE000120,2025-02-17,ST049,P317,1
SALE000121,2023-09-16,ST088,P869,1
SALE000122,2024-08-06,ST070,P122,2
SALE000123,2024-11-04,ST016,P154,6
SALE000124,2023-11-22,ST051,P428,6
SALE000125,2024-03-09,ST029,P700,1
SALE000126,2023-10-25,ST039,P360,3
SALE000127,2023-12-08,ST070,P347,4
SALE000128,2024-05-17,ST030,P194,1
SALE000129,2024-11-30,ST045,P140,2
SALE000130,2024-02-08,ST093,P615,1
SALE000131,2025-08-09,ST005,P669,1
SALE000132,2024-06-11,ST054,P504,1
SALE000133,2024-10-23,ST003,P186,1
SALE000134,2024-06-01,ST009,P095,1
SALE000135,2024-12-06,ST005,P356,6
SALE000136,2024-12-11,ST091,P720,2
SALE000137,2024-06-14,ST032,P606,4
SALE000138,2024-02-11,ST057,P186,1
SALE000139,2025-03-01,ST028,P611,1
SALE000140,2024-08-16,ST100,P039,5
SALE000141,2024-08-23,ST038,P186,1
SALE000142,2024-01-12,ST094,P480,1
SALE000143,2024-05-15,ST074,P491,1
SALE000144,2025-03-19,ST087,P688,1
SALE000145,2024-09-09,ST031,P251,1
SALE000146,2025-08-08,ST019,P895,3
SALE000147,2025-04-27,ST029,P346,2
SALE000148,2024-09-26,ST008,P466,1
SALE000149,2025-05-26,ST076,P747,1
SALE000150,2024-11-12,ST023,P513,2
SALE000151,2024-03-05,ST055,P466,1
SALE000152,2024-09-24,ST007,P875,1
SALE000153,2023-09-09,ST083,P543,3
SALE000154,2025-03-08,ST041,P562,4
SALE000155,2025-04-08,ST020,P251,1
SALE000156,2024-03-07,ST024,P611,1
SALE000157,2025-04-20,ST061,P186,1
SALE000158,2023-11-17,ST029,P251,2
SALE000159,2025-06-02,ST091,P129,1
SALE000160,2024-03-09,ST060,P805,1
SALE000161,2024-10-31,ST072,P346,2
SALE000162,2025-05-04,ST072,P428,2
SALE000163,2024-08-17,ST032,P205,1
SALE000164,2024-08-23,ST043,P528,2
SALE000165,2023-09-28,ST048,P076,1
SALE000166,2024-08-02,ST093,P695,1
SALE000167,2023-11-28,ST035,P317,2
SALE000168,2023-12-18,ST078,P492,2
SALE000169,2025-08-05,ST010,P161,1
SALE000170,2025-07-22,ST098,P488,3
SALE000171,2025-04-09,ST086,P466,1
SALE000172,2024-12-16,ST062,P169,4
SALE000173,2024-10-18,ST039,P859,1
SALE000174,2023-09-17,ST002,P170,1
SALE000175,2024-07-10,ST095,P115,3
SALE000176,2025-01-08,ST097,P370,1
SALE000177,2024-12-16,ST032,P562,4
SALE000178,2025-09-02,ST051,P805,1
SALE000179,2025-04-05,ST071,P263,2
SALE000180,2023-12-22,ST049,P369,2
SALE000181,2024-02-19,ST084,P299,3
SALE000182,2024-12-28,ST047,P408,2
SALE000183,2024-09-24,ST064,P369,1
SALE000184,2024-10-07,ST093,P369,1
SALE000185,2024-02-26,ST041,P794,2
SALE000186,2023-11-22,ST041,P346,6
SALE000187,2023-09-23,ST029,P606,1
SALE000188,2024-07-31,ST034,P463,1
SALE000189,2024-06-27,ST075,P483,6
SALE000190,2024-09-14,ST038,P135,2
SALE000191,2023-11-24,ST030,P322,2
SALE000192,2023-09-26,ST032,P398,1
SALE000193,2025-01-08,ST084,P846,3
SALE000194,2025-03-21,ST033,P615,1
SALE000195,2024-05-10,ST063,P869,1
SALE000196,2024-10-21,ST083,P603,1
SALE000197,2024-07-20,ST059,P143,3
SALE000198,2024-02-08,ST046,P143,1
SALE000199,2025-07-10,ST093,P454,1
SALE000200,2025-07-29,ST024,P805,3
SALE000201,2024-07-14,ST070,P895,3
SALE000202,2024-05-03,ST068,P010,1
SALE000203,2025-02-10,ST010,P846,1
SALE000204,2024-06-23,ST098,P002,1
SALE000205,2024-08-08,ST018,P703,1
SALE000206,2024-06-18,ST009,P574,3
SALE000207,2024-04-15,ST002,P175,2
SALE000208,2024-02-02,ST048,P039,5
SALE000209,2025-07-05,ST062,P537,3
SALE000210,2024-09-21,ST001,P432,1
SALE000211,2024-06-07,ST053,P003,1
SALE000212,2024-06-01,ST068,P598,8
SALE000213,2024-10-24,ST037,P003,1
SALE000214,2024-01-09,ST090,P547,1
SALE000215,2025-06-24,ST014,P805,3
SALE000216,2024-01-06,ST068,P133,1
SALE000217,2025-01-17,ST080,P428,2
SALE000218,2024-11-13,ST035,P646,2
SALE000219,2024-02-26,ST011,P313,2
SALE000220,2024-10-25,ST059,P479,3
SALE000221,2024-10-04,ST029,P251,1
SALE000222,2024-08-06,ST011,P533,1
SALE000223,2025-04-30,ST084,P614,1
SALE000224,2025-05-29,ST052,P322,1
SALE000225,2023-12-26,ST071,P370,2
SALE000226,2024-07-08,ST082,P002,1
SALE000227,2025-04-12,ST022,P061,2
SALE000228,2025-05-27,ST083,P640,3
SALE000229,2025-07-23,ST013,P763,1
SALE000230,2023-10-27,ST030,P170,3
SALE000231,2024-01-14,ST073,P370,1
SALE000232,2025-09-05,ST006,P816,1
SALE000233,2024-02-02,ST088,P816,1
SALE000234,2025-01-12,ST070,P466,1
SALE000235,2024-02-22,ST005,P154,2
SALE000236,2023-11-03,ST003,P865,2
SALE000237,2024-09-02,ST076,P129,1
SALE000238,2023-10-30,ST092,P688,1
SALE000239,2024-12-05,ST010,P251,2
SALE000240,2025-03-04,ST073,P186,1
SALE000241,2025-01-23,ST050,P547,3
SALE000242,2024-10-06,ST043,P322,1
SALE000243,2025-06-17,ST095,P124,3
SALE000244,2023-12-23,ST093,P060,2
SALE000245,2025-04-26,ST096,P875,1
SALE000246,2025-08-05,ST007,P091,1
SALE000247,2023-11-02,ST030,P700,4
SALE000248,2024-02-27,ST078,P626,5
SALE000249,2024-12-11,ST051,P869,2
SALE000250,2024-07-27,ST042,P009,3
SALE000251,2023-12-03,ST035,P640,4
SALE000252,2023-12-16,ST063,P177,6
SALE000253,2025-02-14,ST049,P352,3
SALE000254,2024-09-10,ST075,P537,1
SALE000255,2025-04-06,ST099,P510,1
SALE000256,2025-04-01,ST092,P059,1
SALE000257,2024-01-09,ST035,P135,3
SALE000258,2024-03-17,ST082,P135,2
SALE000259,2025-05-24,ST041,P299,1
SALE000260,2024-06-18,ST001,P846,4
SALE000261,2025-06-11,ST047,P614,1
SALE000262,2024-12-10,ST017,P067,2
SALE000263,2025-03-18,ST056,P357,3
SALE000264,2025-04-25,ST066,P344,1
SALE000265,2024-07-21,ST004,P076,1
SALE000266,2025-03-22,ST071,P076,1
SALE000267,2023-11-09,ST077,P640,4
SALE000268,2024-10-08,ST002,P245,2
SALE000269,2024-08-06,ST100,P064,1
SALE000270,2025-06-25,ST072,P779,1
SALE000271,2025-05-24,ST074,P419,3
SALE000272,2024-09-17,ST049,P143,1
SALE000273,2025-06-08,ST035,P251,1
SALE000274,2024-01-07,ST064,P129,1
SALE000275,2024-07-03,ST022,P354,2
SALE000276,2024-12-04,ST039,P375,2
SALE000277,2023-10-19,ST047,P200,1
SALE000278,2024-09-03,ST093,P513,1
SALE000279,2023-12-27,ST077,P504,2
SALE000280,2023-11-27,ST059,P105,2
SALE000281,2024-12-13,ST039,P002,2
SALE000282,2024-05-24,ST051,P273,3
SALE000283,2025-04-06,ST049,P667,2
SALE000284,2024-04-26,ST057,P273,3
SALE000285,2024-12-22,ST077,P124,4
SALE000286,2025-02-05,ST078,P847,1
SALE000287,2024-09-09,ST026,P370,1
SALE000288,2023-12-26,ST023,P869,2
SALE000289,2025-03-07,ST041,P245,3
SALE000290,2024-11-12,ST082,P386,6
SALE000291,2024-10-20,ST032,P266,1
SALE000292,2024-05-09,ST036,P688,1
SALE000293,2025-07-17,ST051,P307,3
SALE000294,2023-12-04,ST026,P488,2
SALE000295,2024-02-17,ST070,P154,3
SALE000296,2025-01-04,ST004,P859,1
SALE000297,2024-01-15,ST060,P846,2
SALE000298,2025-01-17,ST057,P657,1
SALE000299,2024-10-09,ST089,P059,1
SALE000300,2025-06-21,ST053,P546,1
SALE000301,2023-11-11,ST082,P251,2
SALE000302,2023-12-22,ST033,P537,6
SALE000303,2024-06-15,ST055,P642,1
SALE000304,2023-10-19,ST058,P895,2
SALE000305,2025-05-10,ST075,P334,3
SALE000306,2025-01-31,ST089,P347,1
SALE000307,2025-06-18,ST047,P567,5
SALE000308,2024-07-27,ST077,P521,1
SALE000309,2023-12-22,ST014,P625,2
SALE000310,2024-09-27,ST085,P541,1
SALE000311,2025-08-03,ST022,P528,1
SALE000312,2024-11-27,ST073,P894,2
SALE000313,2025-02-13,ST087,P528,2
SALE000314,2025-09-02,ST056,P102,1
SALE000315,2025-02-20,ST013,P208,1
SALE000316,2024-12-12,ST066,P607,2
SALE000317,2023-11-10,ST072,P485,10
SALE000318,2024-10-11,ST029,P356,2
SALE000319,2024-09-20,ST060,P626,5
SALE000320,2024-02-27,ST089,P398,1
SALE000321,2024-02-16,ST045,P898,1
SALE000322,2024-01-19,ST062,P101,1
SALE000323,2024-05-30,ST054,P814,1
SALE000324,2023-10-08,ST011,P115,1
SALE000325,2025-08-12,ST094,P129,1
SALE000326,2025-01-02,ST040,P279,1
SALE000327,2024-08-30,ST067,P375,2
SALE000328,2024-09-30,ST013,P354,3
SALE000329,2024-08-23,ST058,P260,1
SALE000330,2025-08-20,ST039,P022,3
SALE000331,2024-12-31,ST015,P004,2
SALE000332,2024-11-11,ST044,P528,6
SALE000333,2024-01-25,ST022,P821,1
SALE000334,2025-04-19,ST095,P191,2
SALE000335,2024-07-22,ST071,P140,3
SALE000336,2025-01-21,ST055,P865,1
SALE000337,2025-07-26,ST030,P657,1
SALE000338,2025-06-16,ST081,P160,3
SALE000339,2024-12-07,ST082,P537,4
SALE000340,2024-01-14,ST004,P603,1
SALE000341,2025-01-03,ST026,P357,2
SALE000342,2024-09-21,ST050,P001,1
SALE000343,2024-07-15,ST028,P169,3
SALE000344,2024-12-03,ST009,P483,6
SALE000345,2025-07-26,ST024,P307,1
SALE000346,2025-06-24,ST059,P115,3
SALE000347,2025-03-27,ST086,P715,1
SALE000348,2025-01-31,ST068,P869,1
SALE000349,2023-12-14,ST041,P491,2
SALE000350,2024-02-24,ST079,P327,1
SALE000351,2024-12-12,ST015,P292,4
SALE000352,2024-03-22,ST080,P149,3
SALE000353,2023-11-15,ST079,P488,2
SALE000354,2023-12-27,ST087,P124,2
SALE000355,2025-03-25,ST031,P253,1
SALE000356,2024-07-10,ST048,P562,5
SALE000357,2023-10-07,ST050,P347,1
SALE000358,2023-10-19,ST074,P322,1
SALE000359,2025-04-13,ST024,P377,1
SALE000360,2024-04-23,ST069,P562,2
SALE000361,2024-06-28,ST072,P143,3
SALE000362,2024-01-11,ST037,P124,2
SALE000363,2024-03-20,ST058,P513,1
SALE000364,2024-01-09,ST046,P859,1
SALE000365,2024-05-13,ST063,P124,2
SALE000366,2025-06-02,ST072,P401,4
SALE000367,2024-07-27,ST053,P551,1
SALE000368,2023-09-14,ST054,P574,1
SALE000369,2024-08-23,ST057,P377,1
SALE000370,2024-09-01,ST011,P479,1
SALE000371,2024-03-11,ST038,P009,1
SALE000372,2024-03-08,ST029,P450,1
SALE000373,2024-05-12,ST022,P637,3
SALE000374,2024-12-08,ST096,P626,8
SALE000375,2025-07-24,ST071,P405,1
SALE000376,2025-01-01,ST074,P115,1
SALE000377,2024-03-24,ST100,P451,3
SALE000378,2024-03-21,ST070,P690,1
SALE000379,2023-10-13,ST006,P614,2
SALE000380,2023-12-30,ST070,P175,4
SALE000381,2024-12-04,ST014,P603,2
SALE000382,2024-01-04,ST084,P609,3
SALE000383,2025-05-17,ST005,P357,2
SALE000384,2023-11-04,ST012,P354,2
SALE000385,2023-12-10,ST100,P671,2
SALE000386,2024-03-11,ST095,P488,1
SALE000387,2023-12-23,ST045,P715,2
SALE000388,2023-09-08,ST079,P519,1
SALE000389,2025-06-26,ST022,P504,1
SALE000390,2024-06-17,ST027,P673,1
SALE000391,2024-08-31,ST008,P479,3
SALE000392,2025-05-22,ST036,P491,1
SALE000393,2025-08-04,ST022,P263,3
SALE000394,2024-03-12,ST038,P245,2
SALE000395,2023-12-19,ST066,P895,6
SALE000396,2024-03-01,ST013,P124,2
SALE000397,2025-03-24,ST008,P896,3
SALE000398,2024-10-29,ST017,P567,2
SALE000399,2025-03-16,ST032,P129,1
SALE000400,2025-09-04,ST042,P691,3
SALE000401,2025-02-20,ST051,P383,5
SALE000402,2023-09-18,ST081,P213,2
SALE000403,2024-11-17,ST049,P358,2
SALE000404,2024-09-22,ST082,P646,1
SALE000405,2025-03-05,ST099,P076,1
SALE000406,2025-06-19,ST066,P609,3
SALE000407,2024-03-17,ST059,P852,1
SALE000408,2025-03-25,ST042,P485,1
SALE000409,2024-01-24,ST094,P875,1
SALE000410,2025-03-06,ST082,P541,1
SALE000411,2025-04-15,ST046,P705,5
SALE000412,2024-04-25,ST051,P175,2
SALE000413,2024-03-17,ST028,P396,1
SALE000414,2024-04-24,ST042,P691,2
SALE000415,2024-05-09,ST071,P483,3
SALE000416,2023-10-26,ST063,P642,3
SALE000417,2024-11-22,ST098,P022,2
SALE000418,2023-10-17,ST081,P640,2
SALE000419,2025-03-18,ST003,P121,1
SALE000420,2025-06-06,ST057,P358,1
SALE000421,2025-03-20,ST055,P169,3
SALE000422,2025-08-07,ST017,P747,1
SALE000423,2025-02-01,ST039,P140,2
SALE000424,2025-01-27,ST012,P537,2
SALE000425,2025-05-03,ST011,P313,3
SALE000426,2024-06-23,ST022,P037,3
SALE000427,2024-04-26,ST093,P563,1
SALE000428,2025-08-11,ST030,P352,1
SALE000429,2025-07-28,ST091,P086,1
SALE000430,2023-11-07,ST028,P370,2
SALE000431,2024-06-03,ST017,P489,3
SALE000432,2023-12-12,ST088,P356,2
SALE000433,2024-07-30,ST090,P279,1
SALE000434,2024-01-30,ST055,P562,4
SALE000435,2025-07-30,ST010,P181,1
SALE000436,2023-12-10,ST012,P601,2
SALE000437,2024-01-18,ST014,P101,1
SALE000438,2024-03-10,ST048,P747,1
SALE000439,2024-01-30,ST018,P322,1
SALE000440,2025-03-08,ST097,P742,3
SALE000441,2024-03-22,ST087,P129,1
SALE000442,2024-02-29,ST068,P466,1
SALE000443,2025-04-09,ST079,P528,2
SALE000444,2024-04-15,ST045,P598,3
SALE000445,2024-10-09,ST096,P135,2
SALE000446,2024-03-25,ST079,P560,1
SALE000447,2025-05-10,ST012,P766,1
SALE000448,2024-06-02,ST097,P121,3
SALE000449,2025-06-22,ST050,P297,2
SALE000450,2025-04-28,ST041,P642,1
SALE000451,2023-12-05,ST036,P528,2
SALE000452,2025-07-11,ST071,P492,1
SALE000453,2025-09-03,ST093,P494,1
SALE000454,2024-03-05,ST100,P846,1
SALE000455,2024-12-19,ST085,P747,2
SALE000456,2024-02-25,ST027,P413,3
SALE000457,2024-10-01,ST025,P607,1
SALE000458,2025-01-24,ST038,P528,1
SALE000459,2025-06-26,ST064,P324,1
SALE000460,2023-09-15,ST064,P521,1
SALE000461,2024-09-23,ST068,P754,1
SALE000462,2024-11-18,ST002,P895,4
SALE000463,2025-05-08,ST017,P327,1
SALE000464,2025-01-03,ST073,P347,3
SALE000465,2023-11-23,ST088,P149,8
SALE000466,2024-06-27,ST099,P059,1
SALE000467,2025-01-14,ST076,P059,1
SALE000468,2025-07-13,ST034,P170,1
SALE000469,2025-01-14,ST051,P401,5
SALE000470,2024-08-20,ST099,P346,3
SALE000471,2023-10-26,ST052,P061,3
SALE000472,2024-11-30,ST069,P504,2
SALE000473,2023-12-27,ST036,P061,2
SALE000474,2024-05-17,ST066,P814,1
SALE000475,2023-12-21,ST020,P450,2
SALE000476,2025-01-25,ST051,P488,1
SALE000477,2024-04-16,ST098,P700,3
SALE000478,2024-11-28,ST083,P059,2
SALE000479,2024-12-31,ST090,P354,2
SALE000480,2025-03-14,ST008,P191,4
SALE000481,2025-03-13,ST015,P358,1
SALE000482,2024-11-04,ST078,P038,4
SALE000483,2025-01-01,ST016,P003,1
SALE000484,2024-12-03,ST018,P567,4
SALE000485,2024-12-19,ST064,P859,2
SALE000486,2025-01-06,ST067,P413,3
SALE000487,2024-02-15,ST034,P143,1
SALE000488,2024-07-05,ST017,P609,3
SALE000489,2023-11-14,ST094,P754,2
SALE000490,2025-07-07,ST099,P766,2
SALE000491,2024-06-01,ST055,P226,1
SALE000492,2024-01-11,ST009,P211,3
SALE000493,2023-10-09,ST081,P060,1
SALE000494,2024-07-07,ST059,P405,1
SALE000495,2024-11-07,ST008,P398,2
SALE000496,2025-02-10,ST073,P143,1
SALE000497,2024-07-04,ST021,P205,3
SALE000498,2024-10-06,ST014,P763,3
SALE000499,2024-10-06,ST093,P115,1
SALE000500,2024-12-10,ST095,P401,2
SALE000501,2025-02-07,ST002,P191,4
SALE000502,2025-01-13,ST047,P322,1
SALE000503,2024-05-06,ST020,P154,1
SALE000504,2024-09-11,ST071,P667,3
SALE000505,2023-12-31,ST095,P537,2
SALE000506,2025-06-02,ST042,P194,3
SALE000507,2024-07-07,ST093,P263,3
SALE000508,2024-12-29,ST074,P313,6
SALE000509,2025-06-16,ST087,P774,1
SALE000510,2024-05-10,ST029,P669,1
SALE000511,2025-07-09,ST006,P859,1
SALE000512,2025-05-20,ST009,P747,1
SALE000513,2024-11-28,ST037,P626,6
SALE000514,2024-06-17,ST042,P064,1
SALE000515,2025-05-13,ST059,P002,1
SALE000516,2025-09-05,ST026,P245,2
SALE000517,2024-04-25,ST095,P513,1
SALE000518,2025-06-08,ST060,P310,8
SALE000519,2025-05-23,ST099,P637,3
SALE000520,2025-07-14,ST070,P614,1
SALE000521,2024-11-24,ST020,P002,2
SALE000522,2023-10-01,ST053,P004,1
SALE000523,2024-01-07,ST070,P292,3
SALE000524,2025-02-07,ST002,P859,1
SALE000525,2024-11-08,ST001,P614,4
SALE000526,2024-06-18,ST095,P601,1
SALE000527,2023-12-28,ST014,P169,2
SALE000528,2023-11-03,ST054,P396,2
SALE000529,2024-03-23,ST008,P875,1
SALE000530,2024-11-18,ST019,P583,2
SALE000531,2024-05-06,ST006,P814,1
SALE000532,2025-06-05,ST067,P346,6
SALE000533,2025-08-09,ST059,P875,1
SALE000534,2023-11-24,ST011,P485,10
SALE000535,2024-06-05,ST018,P521,2
SALE000536,2024-06-03,ST010,P488,3
SALE000537,2025-01-09,ST008,P354,1
SALE000538,2025-07-18,ST031,P245,2
SALE000539,2024-10-12,ST051,P563,1
SALE000540,2024-11-22,ST095,P268,4
SALE000541,2025-06-10,ST035,P186,1
SALE000542,2024-03-05,ST026,P124,3
SALE000543,2024-10-23,ST014,P140,1
SALE000544,2025-01-18,ST058,P369,1
SALE000545,2023-10-23,ST053,P121,2
SALE000546,2025-03-05,ST099,P169,2
SALE000547,2025-01-18,ST060,P213,1
SALE000548,2024-01-09,ST012,P140,3
SALE000549,2024-04-25,ST039,P690,1
SALE000550,2025-08-17,ST090,P492,1
SALE000551,2025-01-21,ST028,P700,2
SALE000552,2024-02-25,ST019,P076,1
SALE000553,2023-12-07,ST032,P869,2
SALE000554,2024-06-23,ST051,P408,1
SALE000555,2025-06-28,ST087,P250,3
SALE000556,2023-10-04,ST004,P859,1
SALE000557,2025-08-21,ST058,P466,1
SALE000558,2024-10-27,ST071,P194,1
SALE000559,2024-12-20,ST060,P095,2
SALE000560,2025-07-25,ST018,P121,1
SALE000561,2024-11-16,ST100,P891,2
SALE000562,2024-02-18,ST017,P165,1
SALE000563,2024-11-29,ST052,P313,6
SALE000564,2023-09-27,ST083,P064,1
SALE000565,2024-04-24,ST076,P211,1
SALE000566,2024-06-24,ST003,P898,1
SALE000567,2025-05-02,ST026,P774,2
SALE000568,2024-05-07,ST017,P076,1
SALE000569,2025-06-27,ST043,P121,2
SALE000570,2024-10-07,ST007,P143,1
SALE000571,2023-11-28,ST074,P352,6
SALE000572,2024-10-29,ST051,P396,1
SALE000573,2025-06-09,ST049,P551,1
SALE000574,2024-01-13,ST023,P297,1
SALE000575,2025-02-04,ST036,P238,1
SALE000576,2025-02-01,ST005,P504,1
SALE000577,2024-08-20,ST079,P191,3
SALE000578,2024-01-29,ST064,P344,1
SALE000579,2024-11-06,ST071,P370,2
SALE000580,2024-08-09,ST012,P238,1
SALE000581,2024-11-12,ST054,P165,2
SALE000582,2024-05-19,ST068,P194,1
SALE000583,2023-09-16,ST070,P646,1
SALE000584,2025-02-28,ST049,P640,2
SALE000585,2023-10-11,ST062,P454,1
SALE000586,2023-12-28,ST063,P279,6
SALE000587,2024-03-28,ST065,P263,2
SALE000588,2025-07-17,ST024,P009,3
SALE000589,2025-04-05,ST077,P175,2
SALE000590,2024-04-18,ST008,P669,1
SALE000591,2025-06-21,ST061,P428,3
SALE000592,2025-06-30,ST030,P875,1
SALE000593,2025-01-09,ST013,P194,1
SALE000594,2025-07-17,ST031,P213,3
SALE000595,2024-11-25,ST008,P615,2
SALE000596,2024-10-28,ST029,P480,1
SALE000597,2023-09-12,ST050,P299,2
SALE000598,2025-03-22,ST023,P186,1
SALE000599,2024-02-03,ST041,P669,1
SALE000600,2023-11-07,ST090,P299,10
SALE000601,2024-06-12,ST004,P567,3
SALE000602,2025-03-05,ST073,P466,1
SALE000603,2025-05-23,ST073,P847,1
SALE000604,2025-01-16,ST064,P451,2
SALE000605,2023-12-24,ST063,P014,2
SALE000606,2025-08-09,ST008,P184,1
SALE000607,2025-02-28,ST029,P004,1
SALE000608,2024-10-05,ST062,P001,1
SALE000609,2023-10-23,ST079,P167,1
SALE000610,2024-05-07,ST044,P595,1
SALE000611,2025-08-24,ST042,P039,2
SALE000612,2025-06-07,ST076,P567,2
SALE000613,2025-03-11,ST100,P115,1
SALE000614,2025-03-27,ST068,P715,1
SALE000615,2023-12-22,ST010,P317,2
SALE000616,2025-07-19,ST085,P330,1
SALE000617,2023-12-27,ST013,P273,4
SALE000618,2024-03-23,ST018,P877,1
SALE000619,2024-09-21,ST094,P847,1
SALE000620,2025-07-05,ST082,P865,1
SALE000621,2025-04-30,ST084,P260,1
SALE000622,2024-03-18,ST091,P869,1
SALE000623,2025-08-05,ST089,P754,1
SALE000624,2023-12-29,ST079,P640,2
SALE000625,2024-11-13,ST086,P488,2
SALE000626,2024-10-02,ST023,P322,1
SALE000627,2024-12-03,ST094,P560,2
SALE000628,2025-01-23,ST023,P601,1
SALE000629,2024-07-27,ST090,P847,1
SALE000630,2024-06-21,ST051,P705,5
SALE000631,2025-02-11,ST005,P154,2
SALE000632,2025-06-05,ST079,P175,3
SALE000633,2023-10-30,ST014,P842,1
SALE000634,2023-09-26,ST043,P607,1
