claim_id,claim_date,sale_id,repair_status
CLAIM00109,2024-10-30,SALE009772,In Progress
CLAIM00110,2024-10-11,SALE017925,In Progress
CLAIM00111,2024-09-29,SALE011991,Completed
CLAIM00112,2025-08-17,SALE015530,Completed
CLAIM00113,2025-02-08,SALE016617,Completed
CLAIM00114,2025-07-24,SALE003410,In Progress
CLAIM00115,2023-12-07,SALE013258,Completed
CLAIM00116,2025-09-04,SALE012240,Pending Parts
CLAIM00117,2024-08-11,SALE014208,Completed
CLAIM00118,2024-07-02,SALE000321,Completed
CLAIM00119,2024-10-31,SALE017010,Completed
CLAIM00120,2024-01-13,SALE017352,In Progress
CLAIM00121,2025-04-19,SALE001548,In Progress
CLAIM00122,2025-02-19,SALE008671,Completed
CLAIM00123,2024-07-24,SALE002246,Completed
CLAIM00124,2024-09-20,SALE016655,Pending Parts
CLAIM00125,2024-05-15,SALE001237,Completed
CLAIM00126,2025-09-05,SALE004256,In Progress
CLAIM00127,2024-06-21,SALE009218,Pending Parts
CLAIM00128,2023-10-15,SALE009318,Completed
CLAIM00129,2024-10-31,SALE013178,In Progress
CLAIM00130,2024-10-20,SALE006049,Pending Parts
CLAIM00131,2024-06-09,SALE018211,In Progress
CLAIM00132,2024-04-23,SALE017265,Completed
CLAIM00133,2024-04-24,SALE005587,Completed
CLAIM00134,2025-06-09,SALE014164,Completed
CLAIM00135,2025-08-25,SALE002150,Completed
CLAIM00136,2025-07-15,SALE015313,Pending Parts
CLAIM00137,2024-01-15,SALE006725,Completed
CLAIM00138,2025-09-05,SALE008596,Completed
CLAIM00139,2024-04-28,SALE012372,Completed
CLAIM00140,2024-08-01,SALE001114,Completed
CLAIM00141,2025-08-13,SALE017863,Completed
CLAIM00142,2025-08-21,SALE014992,Completed
CLAIM00143,2025-02-27,SALE007129,Completed
CLAIM00144,2025-02-17,SALE014220,Completed
CLAIM00145,2024-09-07,SALE006607,Completed
CLAIM00146,2025-06-21,SALE002563,Completed
CLAIM00147,2025-08-01,SALE008583,Replaced
CLAIM00148,2024-04-27,SALE018481,Completed
CLAIM00149,2025-04-23,SALE006395,Completed
CLAIM00150,2025-09-05,SALE003070,Pending Parts
CLAIM00151,2025-06-06,SALE016918,In Progress
CLAIM00152,2024-06-22,SALE002798,Completed
CLAIM00153,2025-04-01,SALE006226,Completed
CLAIM00154,2025-05-30,SALE014793,Completed
CLAIM00155,2024-02-10,SALE004381,In Progress
CLAIM00156,2024-11-28,SALE004972,Completed
CLAIM00157,2025-05-05,SALE019316,Pending Parts
CLAIM00158,2024-06-11,SALE006601,Pending Parts
CLAIM00159,2024-08-06,SALE017043,Replaced
CLAIM00160,2025-08-25,SALE000227,Completed
CLAIM00161,2025-01-05,SALE010012,Pending Parts
CLAIM00162,2025-07-02,SALE011121,Completed
CLAIM00163,2025-07-22,SALE000222,Pending Parts
CLAIM00164,2025-06-01,SALE007511,Completed
CLAIM00165,2025-04-02,SALE000108,In Progress
CLAIM00166,2025-04-14,SALE017192,Pending Parts
CLAIM00167,2023-10-22,SALE007532,Completed
CLAIM00168,2024-07-31,SALE009083,Completed
CLAIM00169,2024-07-01,SALE018602,Completed
CLAIM00170,2023-12-27,SALE003669,Completed
CLAIM00171,2024-03-13,SALE002652,Completed
CLAIM00172,2024-06-21,SALE013168,Completed
CLAIM00173,2025-06-25,SALE009380,Completed
CLAIM00174,2025-07-24,SALE016060,Completed
CLAIM00175,2025-01-14,SALE013515,Completed
CLAIM00176,2024-12-04,SALE008359,Completed
CLAIM00177,2024-03-26,SALE019027,In Progress
CLAIM00178,2025-04-18,SALE006060,Completed
CLAIM00179,2025-04-28,SALE015640,In Progress
CLAIM00180,2024-09-20,SALE006475,Completed
CLAIM00181,2024-06-06,SALE018379,Pending Parts
CLAIM00182,2023-12-13,SALE013341,Replaced
CLAIM00183,2024-08-28,SALE018186,In Progress
CLAIM00184,2025-03-17,SALE003138,In Progress
CLAIM00185,2024-09-27,SALE006668,Completed
CLAIM00186,2025-09-05,SALE007664,Completed
CLAIM00187,2024-08-12,SALE015567,Completed
CLAIM00188,2025-08-20,SALE004309,Completed
CLAIM00189,2025-09-05,SALE005288,Completed
CLAIM00190,2025-01-17,SALE015971,Completed
CLAIM00191,2025-04-21,SALE018298,In Progress
CLAIM00192,2024-10-29,SALE003384,Completed
CLAIM00193,2025-09-02,SALE018294,Completed
CLAIM00194,2025-08-07,SALE002464,In Progress
CLAIM00195,2025-06-29,SALE011921,Completed
CLAIM00196,2025-05-31,SALE011317,Replaced
CLAIM00197,2025-02-12,SALE006801,In Progress
CLAIM00198,2025-06-10,SALE018994,In Progress
CLAIM00199,2024-08-24,SALE006076,Completed
CLAIM00200,2024-09-02,SALE011962,In Progress
CLAIM00201,2025-08-16,SALE016511,Completed
CLAIM00202,2024-04-13,SALE017529,Replaced
CLAIM00203,2024-02-02,SALE008162,Completed
CLAIM00204,2025-08-22,SALE001120,Completed
CLAIM00205,2025-06-14,SALE005732,Completed
CLAIM00206,2024-10-10,SALE002896,Completed
CLAIM00207,2025-06-12,SALE006557,In Progress
CLAIM00208,2025-02-05,SALE013027,Completed
CLAIM00209,2025-06-17,SALE015948,Pending Parts
CLAIM00210,2024-03-18,SALE002080,Pending Parts
CLAIM00211,2024-11-23,SALE013373,In Progress
CLAIM00212,2025-05-28,SALE001683,Pending Parts
CLAIM00213,2025-08-25,SALE007816,Completed
CLAIM00214,2024-11-24,SALE008007,Completed
CLAIM00215,2025-01-19,SALE016504,Completed
CLAIM00216,2024-09-03,SALE010188,Completed
CLAIM00217,2024-03-28,SALE002382,Completed
CLAIM00218,2024-12-24,SALE015518,Completed
CLAIM00219,2025-07-25,SALE017076,In Progress
CLAIM00220,2025-03-08,SALE014912,Completed
CLAIM00221,2025-02-05,SALE013228,Completed
CLAIM00222,2024-10-04,SALE000438,Pending Parts
CLAIM00223,2024-08-09,SALE005064,In Progress
CLAIM00224,2024-06-19,SALE016742,Completed
CLAIM00225,2024-08-04,SALE016159,Completed
CLAIM00226,2023-12-15,SALE010151,Pending Parts
CLAIM00227,2024-12-10,SALE019591,Completed
CLAIM00228,2024-01-21,SALE000471,Completed
CLAIM00229,2023-10-29,SALE015470,Completed
CLAIM00230,2025-01-21,SALE005239,Pending Parts
CLAIM00231,2025-01-04,SALE013555,Completed
CLAIM00232,2024-06-09,SALE008221,Completed
CLAIM00233,2025-06-24,SALE017392,Completed
CLAIM00234,2024-10-29,SALE016673,Completed
CLAIM00235,2024-11-04,SALE002326,Completed
CLAIM00236,2025-02-14,SALE000125,Pending Parts
CLAIM00237,2025-01-24,SALE011093,Completed
CLAIM00238,2025-09-05,SALE000993,Completed
CLAIM00239,2025-05-12,SALE008133,Completed
CLAIM00240,2025-08-08,SALE019257,In Progress
CLAIM00241,2024-07-26,SALE002887,Completed
CLAIM00242,2024-02-25,SALE013679,In Progress
CLAIM00243,2024-09-21,SALE015754,Completed
CLAIM00244,2024-12-19,SALE017598,Completed
CLAIM00245,2025-08-25,SALE002443,Completed
CLAIM00246,2025-08-26,SALE005690,Completed
CLAIM00247,2025-08-29,SALE017403,In Progress
CLAIM00248,2025-08-21,SALE016736,Pending Parts
CLAIM00249,2025-09-01,SALE007974,Completed
CLAIM00250,2025-04-03,SALE014557,Completed
CLAIM00251,2024-10-11,SALE007255,In Progress
CLAIM00252,2024-07-26,SALE019718,Completed
CLAIM00253,2024-07-18,SALE017697,Completed
CLAIM00254,2025-01-22,SALE010779,Completed
CLAIM00255,2025-05-20,SALE018591,In Progress
CLAIM00256,2024-08-02,SALE007317,Completed
CLAIM00257,2024-12-26,SALE001897,Pending Parts
CLAIM00258,2024-06-16,SALE018225,Replaced
CLAIM00259,2023-09-17,SALE005088,In Progress
CLAIM00260,2024-10-24,SALE006024,Completed
CLAIM00261,2024-08-08,SALE014682,Completed
CLAIM00262,2025-08-09,SALE016938,Pending Parts
CLAIM00263,2024-01-18,SALE003160,Completed
CLAIM00264,2025-07-04,SALE008975,Replaced
CLAIM00265,2025-07-27,SALE013950,Completed
CLAIM00266,2025-08-19,SALE018749,Completed
CLAIM00267,2024-12-09,SALE011416,Replaced
CLAIM00268,2023-10-28,SALE008190,In Progress
CLAIM00269,2025-08-12,SALE019450,In Progress
CLAIM00270,2025-07-15,SALE010378,In Progress
CLAIM00271,2025-02-15,SALE008031,Pending Parts
CLAIM00272,2025-07-07,SALE013820,Pending Parts
CLAIM00273,2024-09-24,SALE019336,Pending Parts
CLAIM00274,2024-06-24,SALE016928,Completed
CLAIM00275,2025-03-04,SALE004871,Completed
CLAIM00276,2025-09-02,SALE007962,Completed
CLAIM00277,2025-09-05,SALE005713,Pending Parts
CLAIM00278,2025-06-05,SALE001401,Completed
CLAIM00279,2024-10-18,SALE014375,Completed
CLAIM00280,2025-06-14,SALE005486,Completed
CLAIM00281,2024-06-24,SALE009848,Completed
CLAIM00282,2025-08-01,SALE016767,Completed
CLAIM00283,2024-08-12,SALE013577,Completed
CLAIM00284,2024-11-25,SALE003249,Completed
CLAIM00285,2025-07-06,SALE002802,Completed
CLAIM00286,2025-01-10,SALE011163,Completed
CLAIM00287,2025-01-15,SALE014150,Completed
CLAIM00288,2025-03-10,SALE005220,Completed
CLAIM00289,2024-02-19,SALE007576,Completed
CLAIM00290,2024-12-11,SALE001704,Replaced
CLAIM00291,2024-10-04,SALE012741,Completed
CLAIM00292,2025-08-23,SALE016329,In Progress
CLAIM00293,2023-12-23,SALE018106,Completed
CLAIM00294,2025-01-29,SALE000963,Replaced
CLAIM00295,2024-01-19,SALE002115,In Progress
CLAIM00296,2025-03-14,SALE018875,In Progress
CLAIM00297,2025-05-11,SALE009157,Pending Parts
CLAIM00298,2023-12-25,SALE012640,Completed
CLAIM00299,2024-02-11,SALE016097,Completed
CLAIM00300,2025-03-21,SALE001226,Completed
CLAIM00301,2024-04-25,SALE002774,Completed
CLAIM00302,2025-07-17,SALE009076,In Progress
CLAIM00303,2024-06-19,SALE002539,Pending Parts
CLAIM00304,2025-06-14,SALE004929,Pending Parts
CLAIM00305,2024-09-20,SALE018395,In Progress
CLAIM00306,2025-09-04,SALE000029,Completed
CLAIM00307,2025-06-06,SALE019930,Completed
CLAIM00308,2025-05-12,SALE009662,Completed
CLAIM00309,2024-05-18,SALE014337,Completed
CLAIM00310,2025-07-08,SALE003447,Completed
CLAIM00311,2024-08-22,SALE005193,In Progress
CLAIM00312,2025-09-01,SALE001218,In Progress
CLAIM00313,2024-11-13,SALE018411,Completed
CLAIM00314,2025-01-31,SALE006605,Pending Parts
CLAIM00315,2024-08-02,SALE013757,Pending Parts
CLAIM00316,2025-07-03,SALE004200,In Progress
CLAIM00317,2024-08-10,SALE009338,Completed
CLAIM00318,2024-12-05,SALE017974,In Progress
CLAIM00319,2025-06-12,SALE014629,Replaced
CLAIM00320,2024-10-31,SALE010079,In Progress
CLAIM00321,2024-08-25,SALE016509,Completed
CLAIM00322,2025-06-21,SALE010805,In Progress
CLAIM00323,2023-10-19,SALE013196,Completed
CLAIM00324,2024-07-27,SALE006089,Completed
CLAIM00325,2025-02-28,SALE007015,Completed
CLAIM00326,2025-08-21,SALE014703,Completed
CLAIM00327,2025-04-29,SALE017844,Pending Parts
CLAIM00328,2024-02-25,SALE019743,In Progress
CLAIM00329,2025-04-17,SALE013951,Pending Parts
CLAIM00330,2024-01-04,SALE002302,Pending Parts
CLAIM00331,2025-05-23,SALE015718,Completed
CLAIM00332,2024-09-25,SALE007254,In Progress
CLAIM00333,2025-08-29,SALE004258,Completed
CLAIM00334,2025-05-15,SALE014815,In Progress
CLAIM00335,2025-07-11,SALE015047,Pending Parts
CLAIM00336,2024-11-06,SALE013345,Completed
CLAIM00337,2024-10-09,SALE000831,In Progress
CLAIM00338,2025-06-08,SALE013632,Completed
CLAIM00339,2025-08-29,SALE006169,Pending Parts
CLAIM00340,2025-04-07,SALE010874,Completed
CLAIM00341,2024-07-11,SALE002172,Completed
CLAIM00342,2025-04-03,SALE007871,Pending Parts
CLAIM00343,2025-03-09,SALE013358,Completed
CLAIM00344,2024-09-05,SALE018263,Completed
CLAIM00345,2024-04-18,SALE018646,Completed
CLAIM00346,2025-08-02,SALE019076,Completed
CLAIM00347,2024-10-14,SALE001614,Completed
CLAIM00348,2024-08-06,SALE013981,Completed
CLAIM00349,2024-12-19,SALE011788,In Progress
CLAIM00350,2024-07-06,SALE015549,Pending Parts
CLAIM00351,2025-03-11,SALE009561,Completed
CLAIM00352,2024-09-16,SALE002440,Pending Parts
CLAIM00353,2024-10-09,SALE013530,Completed
CLAIM00354,2024-08-10,SALE019454,Completed
CLAIM00355,2025-05-30,SALE017983,Completed
CLAIM00356,2025-09-03,SALE008226,Completed
CLAIM00357,2024-08-25,SALE007187,Completed
CLAIM00358,2025-01-11,SALE013606,Completed
CLAIM00359,2025-08-14,SALE013261,Replaced
CLAIM00360,2025-08-22,SALE007986,Completed
CLAIM00361,2024-11-24,SALE008081,In Progress
CLAIM00362,2025-08-18,SALE015586,Pending Parts
CLAIM00363,2024-10-27,SALE012175,Pending Parts
CLAIM00364,2024-02-05,SALE013648,Completed
CLAIM00365,2024-11-05,SALE002806,Completed
CLAIM00366,2025-04-22,SALE016620,Completed
CLAIM00367,2024-02-09,SALE008925,Completed
CLAIM00368,2025-03-11,SALE011585,In Progress
CLAIM00369,2024-08-13,SALE007256,Completed
CLAIM00370,2024-11-03,SALE011229,Pending Parts
CLAIM00371,2025-07-31,SALE015790,In Progress
CLAIM00372,2024-01-24,SALE014841,Pending Parts
CLAIM00373,2025-07-19,SALE015784,Completed
CLAIM00374,2025-06-05,SALE016252,Completed
CLAIM00375,2025-08-26,SALE017190,In Progress
CLAIM00376,2025-07-03,SALE011869,Completed
CLAIM00377,2024-09-25,SALE018444,In Progress
CLAIM00378,2024-07-28,SALE004526,Completed
CLAIM00379,2024-09-16,SALE009063,Completed
CLAIM00380,2024-06-19,SALE011115,Completed
CLAIM00381,2025-04-26,SALE016552,Completed
CLAIM00382,2025-06-02,SALE007659,Completed
CLAIM00383,2025-05-22,SALE013566,In Progress
CLAIM00384,2024-11-06,SALE002416,Pending Parts
CLAIM00385,2024-09-27,SALE017555,In Progress
CLAIM00386,2024-09-23,SALE016812,Completed
CLAIM00387,2025-09-03,SALE006287,In Progress
CLAIM00388,2025-02-02,SALE014412,In Progress
CLAIM00389,2024-10-21,SALE009557,Pending Parts
CLAIM00390,2025-02-14,SALE010226,Completed
CLAIM00391,2024-10-20,SALE017739,In Progress
CLAIM00392,2025-01-09,SALE018533,Completed
CLAIM00393,2024-04-10,SALE005446,Completed
CLAIM00394,2024-08-22,SALE006230,Pending Parts
CLAIM00395,2025-08-21,SALE012365,In Progress
CLAIM00396,2025-08-11,SALE001230,Pending Parts
CLAIM00397,2025-03-21,SALE009243,Completed
CLAIM00398,2025-05-29,SALE004278,Replaced
CLAIM00399,2023-10-30,SALE008804,Completed
CLAIM00400,2025-07-27,SALE008749,Completed
CLAIM00401,2025-06-06,SALE010630,Pending Parts
CLAIM00402,2025-03-19,SALE000143,Replaced
CLAIM00403,2024-12-15,SALE005978,Completed
CLAIM00404,2024-10-27,SALE011515,Pending Parts
CLAIM00405,2025-04-26,SALE012778,Completed
CLAIM00406,2025-03-23,SALE016271,Completed
CLAIM00407,2024-07-07,SALE002040,Completed
CLAIM00408,2025-04-22,SALE005093,Completed
CLAIM00409,2024-10-27,SALE003950,Pending Parts
CLAIM00410,2024-09-10,SALE015709,In Progress
CLAIM00411,2024-03-16,SALE016943,In Progress
CLAIM00412,2025-06-26,SALE005671,Completed
CLAIM00413,2024-04-24,SALE010908,Completed
CLAIM00414,2024-09-15,SALE019259,Completed
CLAIM00415,2025-07-03,SALE018200,In Progress
CLAIM00416,2025-06-23,SALE017910,Completed
CLAIM00417,2025-06-21,SALE002347,Completed
CLAIM00418,2025-08-14,SALE013041,Completed
CLAIM00419,2025-02-11,SALE003553,In Progress
CLAIM00420,2025-05-16,SALE000111,In Progress
CLAIM00421,2025-03-11,SALE007673,Completed
CLAIM00422,2025-05-22,SALE014358,Completed
CLAIM00423,2025-08-02,SALE013469,Completed
CLAIM00424,2024-10-22,SALE006827,Completed
CLAIM00425,2025-04-07,SALE005304,Completed
CLAIM00426,2025-08-13,SALE019304,Pending Parts
CLAIM00427,2025-04-25,SALE019650,Completed
CLAIM00428,2025-05-11,SALE000084,Pending Parts
CLAIM00429,2025-07-15,SALE007301,Completed
CLAIM00430,2024-10-17,SALE016644,Completed
CLAIM00431,2023-11-12,SALE001015,Completed
CLAIM00432,2025-06-11,SALE009963,Completed
CLAIM00433,2024-10-31,SALE007009,Completed
CLAIM00434,2025-04-25,SALE016085,In Progress
CLAIM00435,2025-01-28,SALE008371,Completed
CLAIM00436,2025-05-09,SALE002951,In Progress
CLAIM00437,2024-06-02,SALE005137,Completed
CLAIM00438,2024-09-26,SALE014322,Completed
CLAIM00439,2024-11-02,SALE017988,Completed
CLAIM00440,2025-05-25,SALE000315,Completed
CLAIM00441,2025-05-08,SALE016794,Completed
CLAIM00442,2024-09-23,SALE012299,Pending Parts
CLAIM00443,2024-08-16,SALE010448,Pending Parts
CLAIM00444,2023-11-18,SALE010454,Completed
CLAIM00445,2025-08-31,SALE003937,In Progress
CLAIM00446,2025-05-25,SALE000498,In Progress
CLAIM00447,2025-07-19,SALE017171,Completed
CLAIM00448,2025-02-18,SALE013540,In Progress
CLAIM00449,2023-11-26,SALE003332,Completed
CLAIM00450,2024-08-15,SALE019451,Completed
CLAIM00451,2024-01-22,SALE019960,Completed
CLAIM00452,2024-05-08,SALE000101,Completed
CLAIM00453,2025-05-13,SALE016254,Pending Parts
CLAIM00454,2025-07-16,SALE016464,In Progress
CLAIM00455,2023-09-14,SALE006783,Pending Parts
CLAIM00456,2025-08-01,SALE006771,Completed
CLAIM00457,2025-05-06,SALE002624,In Progress
CLAIM00458,2025-08-08,SALE007698,Completed
CLAIM00459,2025-08-23,SALE004192,Completed
CLAIM00460,2024-10-19,SALE009962,Completed
CLAIM00461,2025-07-26,SALE001058,Completed
CLAIM00462,2025-03-26,SALE005455,Replaced
CLAIM00463,2025-07-25,SALE015433,Pending Parts
CLAIM00464,2024-10-01,SALE012031,Completed
CLAIM00465,2024-06-12,SALE019270,Completed
CLAIM00466,2024-12-03,SALE009534,In Progress
CLAIM00467,2024-07-15,SALE005952,Completed
CLAIM00468,2025-08-24,SALE011763,In Progress
CLAIM00469,2025-02-20,SALE001403,Completed
CLAIM00470,2025-08-30,SALE002162,Completed
CLAIM00471,2024-08-11,SALE013224,In Progress
CLAIM00472,2025-05-19,SALE012239,Completed
CLAIM00473,2025-01-12,SALE019988,Pending Parts
CLAIM00474,2025-09-05,SALE011943,Completed
CLAIM00475,2025-03-26,SALE011957,Completed
CLAIM00476,2025-07-14,SALE010465,Replaced
CLAIM00477,2025-07-20,SALE015558,In Progress
CLAIM00478,2024-12-04,SALE009873,Completed
CLAIM00479,2025-07-19,SALE017087,Completed
CLAIM00480,2025-01-17,SALE012388,Completed
CLAIM00481,2024-06-26,SALE006953,In Progress
CLAIM00482,2024-12-04,SALE004865,Completed
CLAIM00483,2024-01-28,SALE018195,In Progress
CLAIM00484,2025-05-15,SALE002335,Completed
CLAIM00485,2024-10-31,SALE000353,Completed
CLAIM00486,2025-08-25,SALE016234,Completed
CLAIM00487,2025-05-25,SALE000105,Completed
CLAIM00488,2025-04-14,SALE011170,Completed
CLAIM00489,2025-05-10,SALE012921,Completed
CLAIM00490,2025-03-29,SALE001944,Pending Parts
CLAIM00491,2025-08-19,SALE011056,Completed
CLAIM00492,2025-04-14,SALE010308,Pending Parts
CLAIM00493,2025-05-14,SALE015691,In Progress
CLAIM00494,2024-05-23,SALE006888,Pending Parts
CLAIM00495,2025-02-24,SALE017150,In Progress
CLAIM00496,2024-09-27,SALE009302,Completed
CLAIM00497,2025-03-28,SALE003795,Completed
CLAIM00498,2025-07-06,SALE001665,In Progress
CLAIM00499,2025-06-04,SALE018752,Pending Parts
CLAIM00500,2024-09-26,SALE013263,Completed
CLAIM00501,2025-08-12,SALE000218,In Progress
CLAIM00502,2025-02-02,SALE000940,Completed
CLAIM00503,2025-04-14,SALE014143,Completed
CLAIM00504,2024-04-17,SALE012437,Completed
CLAIM00505,2025-08-24,SALE003816,In Progress
CLAIM00506,2024-08-09,SALE013371,Completed
CLAIM00507,2025-02-02,SALE002191,Completed
CLAIM00508,2024-08-04,SALE011236,Pending Parts
CLAIM00509,2024-05-31,SALE006347,In Progress
CLAIM00510,2025-05-04,SALE002599,Replaced
CLAIM00511,2024-09-05,SALE014435,Completed
CLAIM00512,2024-12-16,SALE012402,Completed
CLAIM00513,2024-09-13,SALE013300,In Progress
CLAIM00514,2024-09-12,SALE000684,Completed
CLAIM00515,2024-01-26,SALE005392,Replaced
CLAIM00516,2025-09-05,SALE009611,In Progress
CLAIM00517,2024-07-25,SALE009565,Completed
CLAIM00518,2025-08-28,SALE012273,Completed
CLAIM00519,2024-03-21,SALE012341,Completed
CLAIM00520,2025-08-14,SALE015173,Completed
CLAIM00521,2025-03-18,SALE019329,Pending Parts
CLAIM00522,2025-07-29,SALE002996,Completed
CLAIM00523,2024-10-25,SALE016721,Completed
CLAIM00524,2025-02-23,SALE002773,In Progress
CLAIM00525,2025-04-11,SALE009613,In Progress
CLAIM00526,2025-07-03,SALE006978,Replaced
CLAIM00527,2024-03-03,SALE007542,In Progress
CLAIM00528,2024-01-08,SALE012684,Completed
CLAIM00529,2025-05-18,SALE014797,In Progress
CLAIM00530,2025-06-05,SALE010753,Completed
CLAIM00531,2025-08-10,SALE015014,Completed
CLAIM00532,2025-05-31,SALE010893,Completed
CLAIM00533,2024-07-09,SALE011861,Completed
CLAIM00534,2025-05-06,SALE008614,Completed
CLAIM00535,2024-08-13,SALE012885,Pending Parts
CLAIM00536,2024-11-14,SALE000548,Completed
CLAIM00537,2024-04-14,SALE012600,Completed
CLAIM00538,2025-09-04,SALE018239,In Progress
CLAIM00539,2024-06-06,SALE006244,In Progress
CLAIM00540,2024-10-16,SALE008793,Completed
CLAIM00541,2025-04-17,SALE005920,Pending Parts
CLAIM00542,2024-08-26,SALE013695,Pending Parts
